simulation,generation,rho,alpha
6,10,0.1875,0.2222222222222222
6,11,0.046875,0.2222222222222222
6,12,0.0,0.2222222222222222
7,0,1,0.2222222222222222
7,1,0.65625,0.2222222222222222
7,2,0.625,0.2222222222222222
7,3,0.609375,0.2222222222222222
7,4,0.453125,0.2222222222222222
7,5,0.453125,0.2222222222222222
7,6,0.453125,0.2222222222222222
7,7,0.546875,0.2222222222222222
7,8,0.40625,0.2222222222222222
7,9,0.328125,0.2222222222222222
7,10,0.25,0.2222222222222222
7,11,0.28125,0.2222222222222222
7,12,0.296875,0.2222222222222222
7,13,0.265625,0.2222222222222222
7,14,0.234375,0.2222222222222222
7,15,0.265625,0.2222222222222222
7,16,0.203125,0.2222222222222222
7,17,0.15625,0.2222222222222222
